Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
26897,28635,117671,-17389
26544,27330,116070,-16300
26191,26023,115529,-15527
32187,7551,114965,-1093
31902,5496,114752,-828
31705,3163,116275,666
32604,29996,79672,20913
32528,34278,73148,21199
32446,39612,66784,21523
32309,45395,60375,21715
32159,51345,54073,21633
32096,57410,48024,21115
32208,63432,42290,20105
32655,35231,116947,-4869
26485,28067,118877,-20112
26053,26631,117121,-18915
25605,25243,116449,-17982
30461,5861,115217,-782
29941,3825,114821,-578
29526,1504,116236,979
29627,-1189,119283,4087
31215,12617,100777,21395
30637,29171,79487,23044
30632,33490,72844,23264
30613,38901,66405,23492
30540,44812,59960,23556
31879,-6625,75069,9149
32183,-611,82149,7784
32447,4945,88823,6525
31238,35182,118236,-5345
32490,36538,117360,-7432
34989,38187,114653,-9399
37362,39718,111364,-11281
38505,40509,109151,-13147
25551,27217,119147,-20956
25141,25769,117263,-19588
24729,24425,116485,-18428
31476,17170,121000,-2355
29935,7785,116715,2422
29320,5578,115298,1583
28676,3602,114834,1595
28127,1303,116263,2991
29982,1312,117050,16037
30033,4087,111389,17703
30329,12505,101473,22779
29814,25868,86900,24728
29927,29083,80149,24729
29928,-7392,75202,8905
30191,-1345,82335,7594
30409,4221,89101,6359
30528,9236,94738,5504
30115,35837,118359,-8166
32737,37545,115581,-10169
35326,39128,112208,-11941
36673,39953,109891,-13611
25920,29238,120376,-19787
24957,27131,118781,-18490
24708,25708,116846,-17015
24480,24438,116024,-15717
30266,20466,127310,-9325
31452,19430,125768,-6446
32133,18695,123317,-2892
30532,8478,116990,6023
31437,1513,118051,16473
31543,4251,112371,17693
31901,7891,106963,19969
31501,22375,93809,24797
31621,25809,87913,24718
31801,28949,81097,24565
28171,-48371,33687,14899
28474,-43696,39972,14198
28456,-39452,47008,13576
27109,-8001,74309,7736
27434,-1814,81514,6599
27721,3873,88399,5500
27912,9006,94188,4700
33497,39661,113065,-10954
35132,40520,110734,-12255
26568,30002,120094,-14836
32509,21213,127105,-5728
33904,20234,125650,-3272
34735,19541,123237,-27
33789,11947,118201,9914
33331,9111,117089,8638
35473,1419,118681,15098
35637,4077,112983,15867
36067,7649,107547,17860
35800,21942,94386,22872
35887,25335,88491,22797
36051,28447,81651,22569
25049,-55183,26981,15145
25590,-48848,31304,14351
25889,-43997,37489,13480
25901,-39601,44503,12670
24795,-14135,65553,8196
25152,-7184,72366,7128
25649,-781,79743,6165
26112,5102,86842,5193
30558,33620,120002,-10477
29234,30990,119656,-10423
36257,21595,126251,-3909
37836,20644,124838,-1943
38819,19969,122417,915
38022,12336,117434,10569
37674,9496,116394,9027
37409,7345,115117,7029
40806,1326,118576,12695
40984,3912,112910,13214
41447,7427,107477,15041
41145,24925,88495,20352
41182,28046,81678,20210
24206,-54780,24194,16489
24763,-48229,28491,15667
25080,-43190,34678,14658
25140,-38630,41744,13658
24965,-33495,48265,12664
24672,-12526,63558,8574
25254,-5394,70566,7420
25972,1172,78178,6353
27864,21120,101254,4705
28790,37702,119358,-227
27885,39011,121751,-3025
29177,40341,121263,-5243
32288,41952,118690,-6951
35866,36036,118390,-8063
34345,34127,119201,-8705
33013,31413,118737,-8733
32459,29009,116965,-7873
40005,21627,124823,-3527
41717,20727,123455,-1885
42808,20104,121058,710
41937,12649,116239,10234
41635,9849,115269,8577
25633,-54035,21961,18662
26219,-47351,26273,17828
26551,-42199,32481,16708
26645,-37549,39581,15521
30647,22781,100707,4112
31995,39213,119641,-315
31135,40439,122129,-3223
32440,41646,121686,-5536
35613,43135,119135,-7332
38202,34376,118146,-9030
36732,31628,117598,-9021
44609,20953,122095,-2219
28770,-47006,24918,19579
29113,-41807,31085,18414
35273,39861,119043,-1023
34422,41090,121582,-4014
35669,42275,121163,-6365
38810,43736,118626,-8222
37707,42401,120405,-6958
41662,4822,118050,4952
47432,31030,75254,19825
47135,36331,68419,19645
46771,41927,61737,19219
44280,25588,113386,1798
44543,25073,111599,4828
43964,23738,110816,8208
43117,21343,110865,10606
41700,11878,110798,5106
41165,9253,113549,4264
40636,5658,118490,4731
40767,2119,123857,6329
42014,450,127504,8063
43862,822,128566,9043
45247,1943,127353,9216
45766,2978,124222,8941
45440,4120,120006,8861
46656,29296,78024,18137
46368,34432,71016,17848
46021,39861,64127,17402
41416,34316,113574,-7631
39227,31967,112535,-7507
37759,30061,110177,-6402
41671,25333,113833,407
42827,24879,111735,2384
43083,24423,110033,5059
42521,23161,109399,8086
41702,20870,109676,10222
40526,11906,110740,4423
40058,9418,113722,3344
39553,5921,118877,3473
39667,2421,124473,4772
40903,755,128351,6410
42807,1097,129631,7479
44298,2126,128654,7769
44916,2992,125776,7512
44612,3910,121832,7309
44351,5889,117821,8228
44473,9169,114247,10376
45845,20113,95203,16255
45839,27709,81065,16445
45562,32754,73900,16177
45238,38086,66816,15837
44996,43750,59990,15266
45521,42205,120259,-11824
45209,41289,121229,-12439
45546,38946,120262,-12093
46145,35503,117973,-10757
42249,33223,113903,-5675
39960,31658,113826,-6230
37795,29361,112549,-6394
36323,27515,109943,-5637
35650,26484,106960,-4355
39377,23753,111419,189
40478,23430,109334,1756
40727,23117,107721,3942
40195,22017,107243,6527
39449,19927,107769,8354
38678,11864,110234,2404
38309,9601,113471,1157
37849,6277,118823,1031
37954,2870,124622,2142
41131,1617,130239,5146
42742,2630,129512,5697
43491,3405,126909,5577
43249,4155,123265,5356
44102,31844,76852,15331
43832,37122,69566,15225
43655,42703,62503,14928
30939,9281,81137,-32
31225,13911,87427,-1111
31223,17975,93017,-845
31381,22055,97997,622
43798,40060,123306,-10703
43365,38919,124067,-11373
43527,36367,122829,-11301
43984,32730,120214,-10237
44245,29677,117299,-8559
40030,30012,114062,-4957
37734,28474,113710,-5618
35553,26245,112207,-6020
34032,24498,109364,-5581
36870,22238,106258,472
37140,22130,104776,2065
36665,21253,104497,4146
38319,2827,130675,2550
40019,3861,130261,3463
40539,9623,118511,6389
41433,16029,112649,11566
41635,17813,107859,12952
41797,19481,101517,13871
41924,22432,94544,14616
28716,9280,80778,-1661
28894,13792,87262,-3040
28776,17710,93056,-3089
28850,21650,98250,-1766
41677,38165,125847,-9540
41150,36926,126336,-10166
41169,34285,124781,-10271
41487,30533,121817,-9445
34835,25877,113253,-4570
32648,23692,111584,-5088
31092,22042,108556,-4871
34836,4316,131296,30
36584,5318,131268,1277
37374,7778,123684,2661
37450,10432,121078,4781
38032,13794,118582,7716
38400,16524,115610,10255
38588,18160,110992,11850
38726,19654,104764,12998
38853,22409,97819,14003
38825,26437,90569,14679
25767,9441,80119,-3491
25862,13810,86718,-5114
25662,17544,92650,-5432
25688,21302,98012,-4209
34533,8511,126097,682
34660,10936,123720,2820
35312,14126,121302,5834
36149,22091,100671,12786
36131,25867,93341,13702
20147,20667,97973,2462
19912,21776,99616,2675
18920,20820,95276,4841
18518,22120,96810,4959
18271,20085,92983,7124
17748,21562,94394,7072
18090,22972,95714,6586
18737,17655,90673,9599
17753,18877,90991,9279
17133,20527,92265,9008
17310,22116,93570,8274
18093,23143,94105,6598
20635,25217,91557,-3480
17541,18015,89277,11300
16826,19814,90424,10751
16846,21558,91700,9692
19933,25249,90099,-4983
16745,21647,90313,10940
18948,24586,89658,432
19580,25878,89392,-6410
20862,16932,92006,17772
20139,16511,89017,17070
16978,22402,89794,12210
18082,24702,90594,4898
18853,25583,89753,360
21843,19753,96053,19947
21627,18483,92185,19724
20986,17884,89178,19121
18295,25891,91371,5478
18959,26805,90717,570
22563,20503,92987,21526
22047,19623,89909,20955
18946,22886,89280,17022
18295,24757,90959,14612
18667,27037,92747,5993
19195,27955,92237,813
23287,22159,94285,22797
22864,20954,91132,22258
19719,23581,90423,17873
18846,25346,92270,15157
18765,27487,94539,6087
19144,28394,94136,722
34512,18990,106366,-10325
15910,33352,96404,-2654
18285,36197,104033,501
27704,47268,127220,15157
23604,23032,95824,23207
23201,21489,92653,22732
19962,23378,91866,17961
18874,25008,93836,14974
18590,27912,96136,146
23402,16516,112688,-26729
23537,11859,117147,-26133
33087,15333,110357,-12161
33364,17914,104864,-12038
33287,21371,99055,-11832
12529,26959,80545,-7949
14179,30007,87221,-5792
15956,33232,94330,-2573
18279,36161,102065,555
27212,48550,127120,14224
27223,49009,127079,14721
22840,21138,94172,21370
19428,22360,93198,16433
18144,23894,95184,13328
17469,28561,95731,-12527
17362,28968,95620,-17482
17439,29483,96149,-21289
21426,21294,106842,-27237
21624,15562,111804,-27984
21649,10807,116139,-27309
22092,7928,119022,-24898
30338,11902,113326,-13828
31056,14612,108652,-13031
31395,17367,103373,-12886
31385,21039,97879,-12677
31150,25600,92130,-12008
12795,26869,78497,-6995
14389,29911,85295,-5202
18322,36156,100456,646
25412,46272,124570,10658
25850,47418,124948,10631
26258,48492,126316,10876
26537,49561,127733,11574
26559,50035,127833,11845
21542,31976,109206,18149
21838,28014,106120,18512
22423,24849,102287,18560
18481,21037,93933,13450
17037,22577,95805,10432
15652,27562,95698,-14965
15452,27972,95150,-20104
15411,28525,95311,-23960
15644,29070,96102,-26239
18734,20700,105704,-28082
18915,14989,110613,-28566
18861,10237,114875,-27670
19135,7379,117687,-25032
28247,14777,107323,-12766
28675,17661,102271,-12526
28761,21497,97111,-12238
13258,27058,76492,-6214
25180,47314,125384,8215
25356,48508,126002,7689
25615,49637,127505,7435
25834,50730,129010,7763
25820,51166,129200,7814
25654,50214,128098,6599
25351,47967,126159,4758
24968,45478,123372,3485
24519,43645,120229,3661
21234,35470,112196,12708
20768,31296,110136,14033
21080,27248,106930,14556
21666,23994,103002,14717
21742,21250,99164,14775
13763,27095,94815,-16834
13381,27499,93933,-22014
13140,28088,93836,-25784
15610,14984,109314,-28012
15513,10267,113599,-26847
11995,24987,66963,-6030
13379,27709,74309,-6040
14801,30677,81665,-5025
24497,48889,126575,5441
24433,50169,127399,4571
24557,51379,129005,3938
24710,52512,130564,3971
24654,52906,130794,3877
24456,51836,129752,2632
24142,49416,127910,745
23756,46696,125196,-579
23323,44581,122009,-435
19894,31022,110700,10705
20246,26892,107260,11496
20864,23580,103114,11931
20973,20779,99061,12252
10363,22703,56163,-6119
11604,26258,63954,-6201
12930,29000,71580,-6352
14284,31944,79282,-5576
22987,52657,128519,2456
22991,53983,130221,1608
22988,55572,132154,1259
22466,51846,129446,-1731
22102,48924,126812,-2951
10331,27779,60815,-6903
11627,30541,68661,-7083
12942,33482,76656,-6376
21703,4147,9235,6508
20510,13868,14218,4883
19950,22564,19896,3574
19727,29713,26133,2368
25157,3419,9795,9448
23803,13131,14753,7594
23072,21876,20378,5932
22676,29128,26528,4368
27520,3080,10352,11083
26015,12759,15373,9087
25097,21505,21045,7197
23732,42270,49622,-2441
23763,44133,59137,-3978
22537,43679,49329,-3932
22545,45349,59015,-5544
20546,68142,129018,-41425
21302,65744,127246,-41872
21019,45271,48737,-5479
21021,46761,58607,-7013
20936,64594,128176,-38535
21484,61676,125736,-38022
19004,46680,48296,-7056
19007,48005,58353,-8386
20098,63238,129454,-34920
20650,60176,126656,-34225
20923,56389,123751,-33100
19285,61893,130853,-31102
19836,58668,127712,-30259
20107,54679,124407,-29128
19054,60956,132050,-27170
19609,57577,128611,-26269
13339,63965,135421,-18177
14552,65216,137332,-19099
16112,64538,130760,-13644
15547,65495,134295,-13714
16855,66677,136345,-14480
19196,67682,137096,-15236
18772,66978,132894,-9070
20183,68153,135131,-9734
22667,69179,136093,-10644
32669,19547,87037,-4255
32991,14255,80423,-1752
33223,10341,75253,1501
33406,8180,71520,5365
37353,20133,86905,-4891
37677,14847,80351,-2691
37912,10940,75226,369
48039,70037,130973,16705
51328,71372,132382,14902
54377,71765,132813,12315
50852,68588,127858,20855
52885,69957,130481,20915
56319,71339,131943,19200
38693,42049,35569,15234
36272,38018,25242,14576
36156,40260,34484,15396
35634,42014,44768,16223
34759,36031,24091,15241
34671,38383,32979,15985
34150,40262,42898,16700
33619,36617,31373,16581
33063,38683,40999,17067
27397,-603,-883,12221
28941,7093,697,15482
30036,13728,4042,18206
30846,19370,8670,20308
29525,-1031,-1367,15707
31169,6525,109,19014
32356,13130,3362,21656
33215,18827,7909,23577
32474,-738,-2112,19212
34202,6700,-716,22530
54861,86679,33785,66433
50501,82443,30293,67589
51425,84291,33829,68733
21419,-17633,17311,-32400
21196,-16350,17752,-31879
19196,-13160,13304,-29912
11722,75620,150664,28595
12065,70447,151489,35839
9038,79684,146742,31480
9407,74297,147453,38381
2300,79546,146768,33890
2615,73879,147557,40482
-3615,80533,145959,36557
-3397,74615,146599,43029
-18443,119887,79581,-77776
-23356,121498,75676,-83723
-24226,121798,81392,-78736
-25229,121597,87457,-73033
-29366,120162,75606,-87071
-30786,121398,80288,-83206
-31877,121391,85941,-78812
-33119,120891,91863,-73741
-33872,120836,98094,-67970
-32086,124352,76592,-86130
-33711,125251,81549,-82212
-35032,124912,86998,-78425
-36507,124067,92637,-73973
-37471,123703,98627,-68100
-36123,129457,82191,-81458
-37699,128825,87583,-77529
-39440,127672,92936,-73032
-41513,131543,88833,-76308
58677,10437,111109,40123
58673,6609,112245,40655
59696,5786,111672,41220
63684,9824,107242,39727
65990,8486,106416,40480
68844,11174,103524,39530
70094,10652,103268,39682
74026,9872,103026,37699
74829,9321,101465,38403
64040,55358,45660,37056
87772,143852,55282,-27192
133607,-75675,36487,53960
133873,-75231,37431,46589
88276,139918,54622,-29432
88667,137149,52669,-32260
138172,-76062,35696,63410
138665,-77709,36003,58735
138951,-77035,36915,51732
89460,141112,54222,-27740
90436,138028,51682,-30591
90673,135407,49791,-32799
144314,-76152,33354,66913
144944,-77572,33390,62252
145258,-76670,34088,55471
89324,138048,52354,-28119
90389,135095,49935,-30661
149251,-77487,32423,58426
83623,171911,77513,38421
123290,-65296,67662,62175
127228,-69926,59352,61182
131486,-74046,51058,59334
115916,-64070,78470,60951
120004,-69294,69122,60223
124028,-73852,60730,59075
128512,-77768,52236,57081
-1702,108656,31818,44883
124216,-84252,49490,44390
128288,-87010,41244,42001
-5249,107647,31507,50306
-9277,104551,33251,55362
-36206,150018,108526,-18084
-36669,146713,109017,-12114
-27297,165811,96297,-24895
-26204,163152,101706,-17179
-23937,171749,90305,-27602
-21826,174086,90702,-24290
34609,42361,80891,107718
53724,44904,94272,100788
60152,28542,82702,108201
59930,34134,89238,102251
60524,40034,93746,94801
63109,31393,88269,97980
65743,27875,87041,93898
65085,33161,92713,85917
67194,24286,86468,89065
66353,31203,91387,79014
70700,13438,76488,84672
131080,-45666,35248,52807
112655,-42931,38363,63286
125352,-45892,33600,45973
103098,-44344,40660,58686
105963,-45075,38059,55331
117462,-47484,33750,39601
101007,-45137,35545,47691
86825,-44195,39215,50099
88972,-45326,38778,46035
123150,178126,103448,12106
129962,182800,94048,23131
129796,178790,100222,16174
130007,169909,106191,12060
3433,-16987,88651,-18469
2998,-21044,89096,-12937
180533,127991,105607,28556
183724,117538,107494,10822
184943,114857,105797,4731
8816,-11816,87322,-28133
8286,-16492,87896,-22397
7649,-20629,88355,-16286
182959,124079,106561,28254
183839,120227,107637,22210
185410,117424,107306,16772
186873,115005,105653,11479
188057,111311,103541,6674
188625,107097,100477,1391
12176,-12626,88286,-32116
11462,-17474,88850,-26556
10608,-21732,89286,-20100
9250,-26418,89132,-13971
186210,125462,104730,34761
187276,121852,105776,28930
190664,117106,103786,18901
192042,113638,101672,13900
16504,-16668,87838,-30062
15435,-21139,88245,-23709
13831,-26035,88037,-16895
12471,-31363,87017,-10387
190248,123154,104390,35644
192136,120824,104092,30590
193987,118877,102415,25814
195570,115612,100288,20633
196574,111634,97268,15235
20407,-20767,87213,-26605
18542,-25870,86952,-19908
16952,-31308,85896,-13536
191112,118102,106800,36920
193055,116407,105149,32619
194770,113392,103066,27662
195994,109614,100086,22268
160646,145850,28262,-66574
71650,-108536,32984,1647
72796,-111050,34618,-618
27318,188172,61300,17714
21226,186050,62840,16806
23830,186768,63178,22240
101158,81242,78102,68415
103300,80700,77162,71696
105648,80446,75766,73958
107675,79511,75239,75761
102767,79113,76619,73620
104819,78517,75655,77013
107143,78283,74551,79034
109126,77360,74368,80110
103371,76815,75327,76878
97232,79304,76416,66168
99514,77782,74800,71025
105520,74894,73208,82851
113238,69778,73620,85265
114962,67668,73496,84147
142662,-31994,28032,-29094
142253,-30791,27499,-36010
95547,80525,75187,64030
97796,78630,73730,69224
99997,77053,72071,74215
104067,74797,71371,82859
106085,74255,71317,85959
108352,74114,71202,87858
110238,73256,71958,88570
111943,71487,72719,88493
113638,69284,72996,87419
115308,67222,73118,85502
95362,78498,73742,67276
97591,76521,72329,71878
104059,72783,70693,83158
108342,72184,71062,87349
110277,71389,72139,88078
112054,69666,73234,87584
113846,67514,73808,85652
115668,65582,74092,83242
95831,76309,72277,69382
98011,74365,71079,73097
102248,71610,69544,79567
104347,70805,70113,81941
108539,70369,71017,85020
110415,69637,72391,85571
112150,67992,73782,84494
114012,65984,74532,82011
96684,75216,70178,71635
108879,69299,70339,82466
110678,68618,71964,82141
105567,66161,71133,80296
107663,66173,72045,79940
109483,65587,73835,79135
111914,69652,66664,77518
62488,50954,102880,-23995
61121,49665,103043,-22174
61855,54223,101351,-19983
60672,53182,101436,-20752
60202,54072,101416,-18662
144892,-9782,60778,-26421
114814,112780,89514,112101
119189,111185,92713,107886
133747,13861,72423,-110605
130550,13808,67994,-116298
127703,12795,63609,-122307
119599,111199,81245,115186
123408,114926,85102,116655
127993,113283,88107,111926
141843,22791,67097,-115805
138649,22869,62711,-121224
135907,21903,58451,-126963
131690,116920,82264,112880
136426,115110,85024,108101
144455,30855,58667,-118826
141833,29721,54487,-124007
151469,79677,101751,-749
152096,78026,99522,-7021
151550,90582,95852,10370
151108,87592,95180,3992
150482,84466,94676,-2407
151077,83193,92239,-8956
42797,37605,95325,-7748
147836,91664,92768,9458
147199,88903,92085,2808
146404,86060,91314,-3994
146832,85060,88656,-10993
49310,43374,90726,-6520
145031,93777,88017,7900
