Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
136465,146003,199685,102860
134133,117603,200265,75316
130308,104350,201508,58863
126969,93721,202255,46277
125143,86493,200797,40218
167163,77275,118139,-23537
168123,64849,115519,-35059
173597,35355,121401,-49763
177728,18962,129590,-56050
181869,6121,137755,-61210
184831,2245,147259,-61144
128266,171844,196602,121146
134182,171450,196498,119941
134877,160879,198287,113032
134454,144636,198134,100439
127867,104405,199091,56379
124271,94345,199691,43753
122208,87584,198020,37910
160918,83684,122998,-16027
162012,79410,118096,-27552
163251,67191,115881,-38762
173234,20878,131680,-58501
177244,7890,140314,-63478
179986,3822,150086,-63429
129532,169088,195670,114720
130238,158818,197080,108149
122789,104225,196613,53266
118940,94740,197054,40974
116630,88434,195178,35554
154331,83109,116781,-32216
169512,11232,141364,-64806
172047,6971,151321,-64566
17095,138623,177937,-50769
17587,141257,185399,-51041
18885,126109,180855,22515
18320,117340,172478,17248
-10104,95096,150930,-23647
-16402,91992,147658,-19676
-18839,84559,139981,-2999
-17048,78862,136100,8199
5868,107478,119030,-40117
11428,83088,132576,-31718
15044,69330,142084,-26963
17397,58837,149715,-24464
-7680,89036,147166,-13570
-13249,90755,132861,-7058
-26780,18912,135198,-42413
-26668,7492,125688,-38772
-7216,-25838,129556,-16328
11715,-13979,153343,25746
15477,-17947,155653,32597
23379,-28413,160853,48826
26402,-35204,162248,58740
20862,131812,172580,-40924
19581,137449,179135,-44060
20078,140072,186608,-44895
18305,127747,187399,18064
19007,122251,182233,15361
18438,113952,173850,10084
-2169,95393,154059,-23734
-9842,93398,150870,-28639
-16237,90075,147371,-25193
-18470,87018,143442,-18531
-18834,82208,139370,-9588
-17195,76295,135671,1198
-15859,74155,131665,8485
2935,115797,114955,-35798
4591,108957,118747,-36440
6852,98110,124244,-32717
9897,85455,132631,-27759
13382,72166,142122,-22856
15529,62019,149817,-20154
16674,57868,155888,-18001
-2551,83047,160527,-12140
-9716,90170,148054,-9966
-15129,91559,134141,-3930
-17083,90841,120357,1852
-25837,20655,134781,-43306
-25719,9667,125263,-39611
-23374,-3686,119682,-32541
-12332,-19258,122690,-22201
-6417,-22711,128859,-17781
9311,-11549,152925,22717
12066,-12062,154406,26398
15809,-16041,156717,32944
20032,-20688,159622,39951
23743,-26513,161927,48116
26778,-33316,163322,57400
29482,-35588,163568,62671
28049,130805,173607,-30513
26938,136438,180168,-33754
27471,139057,187643,-35380
27284,139568,193356,-36447
24118,123650,188730,10142
24816,118456,183554,6873
24254,110630,175166,1384
24244,104444,166170,-3767
4232,93726,154522,-30110
-3284,91804,151032,-34884
-9595,88261,147309,-32084
-11727,84981,143143,-26121
-12000,79954,138980,-17834
-10390,73824,135368,-7523
-9237,71485,131677,-44
6626,115888,115212,-24195
8475,116891,114247,-30652
9806,110486,118192,-31034
11745,100075,123889,-27253
14480,87868,132392,-22322
17652,75050,141880,-17419
19396,65230,149662,-14606
20109,61127,155835,-12313
771,84619,160987,-6438
-6034,91300,148914,-4582
-11121,92367,135389,922
-12797,91673,121949,6522
-19867,28907,144737,-44503
-19566,22478,134350,-45516
-19440,11922,124822,-41943
-17211,-971,119245,-35179
-12411,-9829,118631,-29838
-6643,-15953,122187,-25267
-885,-19535,128185,-21448
12310,-9634,153974,22292
14793,-10149,155451,26157
18322,-14130,157764,32361
22401,-18779,160675,38817
26055,-24607,162985,46224
29083,-31415,164381,54649
31808,-33680,164614,59380
38785,129675,174735,-20306
37916,135304,181300,-23649
38500,137920,188776,-26064
38325,138437,194479,-28032
28218,117182,195014,4226
34388,119564,190064,2320
35080,114672,184878,-1509
34525,107319,176485,-7211
8210,90264,151504,-40924
2124,86502,147558,-38754
238,82998,143160,-33468
196,77758,138904,-25812
1878,71416,135362,-15951
19466,117742,113776,-25117
20331,111773,117787,-25172
21807,101801,123571,-21304
24084,90042,132164,-16399
26792,77686,141638,-11500
27958,68160,149542,-8597
2331,92141,149787,1250
-2281,92911,136637,6225
-3580,92202,123526,11576
-8897,24347,134023,-47890
-8761,14229,124487,-44427
-6692,1802,118912,-37955
-2252,-6690,118304,-32788
3129,-12649,121811,-28498
8563,-16361,127663,-25251
19575,-8301,156617,25067
22700,-12284,158936,30988
26454,-16938,161854,37023
29927,-22771,164169,43901
32887,-29583,165565,51632
35630,-31842,165786,55884
48600,134092,182512,-14270
49235,136705,189989,-17398
49067,137223,195687,-20183
38292,113024,196292,-2177
44445,115521,191355,-4818
45128,110930,186160,-9132
44577,104049,177763,-14976
58927,127261,177147,-2968
58536,132884,183718,-6377
59223,135495,191195,-10045
